id,fecha,producto,precio,cantidad
1,2023-10-08,Boken Entrenamiento,416.94,8
2,11-01-2023,Boken Entrenamiento,1289.48,9
3,12-21-2023,Katana Acero,ERR,8
4,2023-12-13,Shuriken,133.05,10
5,05/12/2023,Shuriken,548.51,10
6,Ayer,Tanto Madera,892.01,8
7,Hace 2 dias,Shuriken,736.82,8
8,2023-01-01,Nodachi Elite,ERR,9
9,02-26-2023,Katana Acero,154.13,7
10,10-18-2023,Katana Acero,,5
11,Ayer,Shuriken,250.67,8
12,11-05-2023,Tanto Madera,1382.19,8
13,04-10-2023,Nodachi Elite,1384.09,1
14,2023-12-31,Boken Entrenamiento,831.93,4
15,2023-07-10,kunai hierro,397.95,2
16,2023-12-13,Kunai Hierro,1051.74,4
17,02/12/2023,Tanto Madera,1039.24,3
18,2023-02-12,Shuriken,1498.94,4
19,29/04/2023,Tanto Madera,1404.05,7
20,28/11/2023,Shuriken,844.28,4
21,Hace 2 dias,Katana Acero,173.67,7
22,Ayer,Boken Entrenamiento,847.79,6
23,2023-04-23,Katana Acero,,6
24,Hace 2 dias,Katana Acero,1324.39,4
25,2023-11-10,Kunai Hierro,875.32,7
26,2023-08-07,Nodachi Elite,12.06,1
27,2023-07-20,Boken Entrenamiento,1393.91,7
28,Ayer,  nodachi elite  ,887.97,9
29,Ayer,Kunai Hierro,723.82,9
30,11-08-2023,Shuriken,,2
31,2023-11-12,Katana Acero,ERR,7
32,Ayer,Boken Entrenamiento,908.05,5
33,2023-06-28,Katana Acero,1436.54,10
34,04-16-2023,Kunai Hierro,63.17,10
35,Ayer,Tanto Madera,258.47,3
36,10-22-2023,Kunai Hierro,567.94,9
37,Ayer,Boken Entrenamiento,1107.73,1
38,10-17-2023,Kunai Hierro,905.5,10
39,27/10/2023,Shuriken,109.92,4
40,Ayer,Tanto Madera,267.03,5
41,13/09/2023,Boken Entrenamiento,1278.04,1
42,25/04/2023,Tanto Madera,1048.22,3
43,09-04-2023,Katana Acero,161.2,8
44,Ayer,Tanto Madera,973.44,8
45,11-14-2023,Boken Entrenamiento,1486.1,10
46,07-23-2023,Kunai Hierro,43.68,3
47,01-21-2023,Nodachi Elite,1480.12,3
48,Ayer,Kunai Hierro,1473.22,10
49,19/06/2023,Tanto Madera,1375.33,6
50,22/05/2023,  Nodachi Elite  ,751.16,9
51,10-10-2023,Boken Entrenamiento,180.89,8
52,02-02-2023,Boken Entrenamiento,238.99,4
53,06-24-2023,Nodachi Elite,ERR,4
54,16/08/2023,Nodachi Elite,825.52,9
55,2023-06-06,Katana Acero,ERR,1
56,2023-10-13,Kunai Hierro,722.01,3
57,Ayer,Tanto Madera,953.61,1
58,2023-01-24,Tanto Madera,1373.67,10
59,2023-05-21,  Nodachi Elite  ,1496.38,3
60,06-18-2023,Tanto Madera,325.5,1
61,01-25-2023,Shuriken,612.54,5
62,Ayer,Katana Acero,ERR,2
63,2023-06-07,Katana Acero,795.98,8
64,2023-10-14,Tanto Madera,173.54,1
65,2023-07-31,Nodachi Elite,1289.86,4
66,Ayer,Nodachi Elite,603.88,5
67,18/06/2023,Kunai Hierro,191.82,6
68,11/10/2023,Katana Acero,ERR,9
69,Ayer,Tanto Madera,122.88,1
70,11-10-2023,Tanto Madera,963.6,7
71,04/08/2023,Boken Entrenamiento,1409.43,2
72,03-23-2023,Nodachi Elite,256.2,8
73,18/07/2023,Shuriken,292.96,6
74,2023-03-22,Shuriken,1199.03,3
75,19/09/2023,Katana Acero,1153.38,-1
76,12/07/2023,Nodachi Elite,152.89,10
77,16/12/2023,shuriken,ERR,9
78,23/06/2023,Nodachi Elite,641.8,1
79,21/04/2023,Katana Acero,1193.87,6
80,03-24-2023,Katana Acero,337.21,1
81,02-01-2023,shuriken,1472.01,1
82,08-16-2023,Nodachi Elite,1234.29,8
83,2023-12-07,  Shuriken  ,869.44,3
84,02/09/2023,Katana Acero,911.97,9
85,06-28-2023,Nodachi Elite,414.89,5
86,22/02/2023,Kunai Hierro,1319.25,7
87,2023-01-26,Tanto Madera,1059.99,6
