id_reg,ts,nin_id,aldea,chakra,rango,status,desc
ANBU-1000,2025-02-02 11:11:00,Gaara, suna,998.21,S,Éxito,Vigilancia de puesto avanzado
ANBU-1001,2025-02-04 10:31:00,Temari,Konoha,6441.64,A,Éxito,Misión de reconocimiento en fronteras
ANBU-1002,2025-02-02 23:07:00,Shikamaru,Suna ,,D,Fallo,Movimiento sospechoso detectado
ANBU-1003,2025-02-04 05:00:00,Choji,Amegakure,1966.92,B,Sospechoso,Posible espía detectado
ANBU-1004,2025-02-05 14:13:00,Temari,Kiri,1205.96,S,Éxito,Escolta de persona VIP
ANBU-1005,2025-02-01 16:21:00,Kakashi, suna,5955.33,S,En curso,Movimiento sospechoso detectado
ANBU-1006,2025-02-01 18:24:00,Gaara,Iwa,5245.86,A,En curso,Recuperación de pergamino secreto
ANBU-1007,2025-02-01 22:14:00,Kankuro,Konoha,4108.58,D,En curso,Escolta de persona VIP
ANBU-1008,2025-02-01 12:31:00,Gaara,Kumo,1053.53,C,En curso,Enemigo a la vista
ANBU-1009,2025-02-03 16:05:00,Shikamaru,Iwa,7423.79,C,Fallo,Posible espía detectado
ANBU-1010,2025-02-04 01:47:00,Temari,Suna,5538.98,B,Éxito,Sustitución de guardias
ANBU-1011,2025-02-03 16:36:00,Kakashi,Suna,4993.73,D,Fallo,Posible espía detectado
ANBU-1012,2025-02-06 07:00:00,Shikamaru,Suna,7975.82,B,Éxito,Recuperación de pergamino secreto
ANBU-1013,2025-02-04 07:38:00,Temari,Kiri,2138.61,C,Fallo,Escolta de persona VIP
ANBU-1014,2025-02-04 04:27:00,Sasuke,Kiri,4950.96,S,Sospechoso,Escolta de persona VIP
ANBU-1015,2025-02-05 03:58:00,Gaara,Amegakure,3647.12,S,Éxito,Enemigo a la vista
ANBU-1016,2025-02-04 12:12:00,Sakura,Kumo,2175.66,B,Fallo,Patrulla rutinaria
ANBU-1017,2025-02-01 06:06:00,Kankuro,Iwa,3955.04,B,Éxito,Posible espía detectado
ANBU-1018,2025-02-01 10:47:00,Kankuro,Suna,7522.71,S,Éxito,Patrulla rutinaria
ANBU-1019,2025-02-03 03:54:00,Sakura,Konoha,562.25,D,En curso,Patrulla rutinaria
ANBU-1020,2025-02-05 15:12:00,Gaara,Suna,3344.77,B,Fallo,Patrulla rutinaria
ANBU-1021,2025-02-06 18:50:00,Gaara,Konoha,6802.28,B,Éxito,Sustitución de guardias
ANBU-1022,2025-02-06 09:07:00,Sasuke,konoha,3715.44,A,Éxito,Misión de reconocimiento en fronteras
ANBU-1023,2025-02-01 18:22:00,Sasuke,Iwa,5831.55,B,Sospechoso,Recuperación de pergamino secreto
ANBU-1024,2025-02-06 06:06:00,Kankuro,Amegakure,1159.82,S,Fallo,Recuperación de pergamino secreto
ANBU-1025,2025-02-03 03:29:00,Kakashi,Suna,4462.5,D,Éxito,Escolta de persona VIP
ANBU-1026,2025-02-03 06:46:00,Shikamaru,Kiri,0.0,S,Fallo,Escolta de persona VIP
ANBU-1027,2025-02-04 04:35:00,Kankuro,Suna ,6100.96,C,Fallo,Recuperación de pergamino secreto
ANBU-1028,2025-02-06 21:28:00,Kankuro,Konoha,4725.75,A,En curso,Enemigo a la vista
ANBU-1029,2025-02-02 04:50:00,Gaara,Suna,1488.5,B,Fallo,Patrulla rutinaria
ANBU-1030,2025-02-03 22:18:00,Gaara,Kiri,1686.25,S,En curso,Vigilancia de puesto avanzado
ANBU-1031,2025-02-03 06:22:00,Kankuro,Amegakure,999999.0,S,Sospechoso,Sustitución de guardias
ANBU-1032,2025-02-04 20:27:00,,Kiri,7239.91,S,Sospechoso,Recuperación de pergamino secreto
ANBU-1033,2025-02-01 03:00:00,Gaara,Kumo,5988.95,D,Sospechoso,Recuperación de pergamino secreto
ANBU-1034,2025-02-03 21:01:00,Naruto,Konoha,1399.3,B,Éxito,Misión de reconocimiento en fronteras
ANBU-1035,2025-02-02 02:12:00,Sakura,Suna,,S,En curso,Patrulla rutinaria
ANBU-1036,2025-02-05 02:10:00,,Kiri,2893.04,S,Sospechoso,Recuperación de pergamino secreto
ANBU-1037,2025-02-01 08:51:00,Naruto,Kumo,6515.57,S,Éxito,Vigilancia de puesto avanzado
ANBU-1038,2025-02-06 04:21:00,Kakashi,Kumo,943.11,B,En curso,Enemigo a la vista
ANBU-1039,2025-02-04 03:50:00,Ino,Iwa,6386.15,A,En curso,Patrulla rutinaria
